context_dependent_shape_representation  (13);;
;;
ID;representation_relation;represented_product_relation
62;(representation_relationship_with_transformation) (shape_representation_relationship) 63;product_definition_shape 65
85;(representation_relationship_with_transformation) (shape_representation_relationship) 86;product_definition_shape 88
434;(representation_relationship_with_transformation) (shape_representation_relationship) 435;product_definition_shape 437
457;(representation_relationship_with_transformation) (shape_representation_relationship) 458;product_definition_shape 460
806;(representation_relationship_with_transformation) (shape_representation_relationship) 807;product_definition_shape 809
829;(representation_relationship_with_transformation) (shape_representation_relationship) 830;product_definition_shape 832
1178;(representation_relationship_with_transformation) (shape_representation_relationship) 1179;product_definition_shape 1181
1201;(representation_relationship_with_transformation) (shape_representation_relationship) 1202;product_definition_shape 1204
1550;(representation_relationship_with_transformation) (shape_representation_relationship) 1551;product_definition_shape 1553
1573;(representation_relationship_with_transformation) (shape_representation_relationship) 1574;product_definition_shape 1576
1922;(representation_relationship_with_transformation) (shape_representation_relationship) 1923;product_definition_shape 1925
1945;(representation_relationship_with_transformation) (shape_representation_relationship) 1946;product_definition_shape 1948
2294;(representation_relationship_with_transformation) (shape_representation_relationship) 2295;product_definition_shape 2297
